Season,Slot,StrongSeed,WeakSeed
2014,R2Z1,R1Z1,R1Z8
2014,R2Z2,R1Z2,R1Z7
2014,R2Z3,R1Z3,R1Z6
2014,R2Z4,R1Z4,R1Z5
2014,R3W1,R2W1,R2W4
2014,R3W2,R2W2,R2W3
2014,R3X1,R2X1,R2X4
2014,R3X2,R2X2,R2X3
2014,R3Y1,R2Y1,R2Y4
2014,R3Y2,R2Y2,R2Y3
2014,R3Z1,R2Z1,R2Z4
2014,R3Z2,R2Z2,R2Z3
2014,R4W1,R3W1,R3W2
2014,R4X1,R3X1,R3X2
2014,R4Y1,R3Y1,R3Y2
2014,R4Z1,R3Z1,R3Z2
2014,R5WX,R4W1,R4X1
2014,R5YZ,R4Y1,R4Z1
2014,R6CH,R5WX,R5YZ
2015,R1W1,W01,W16
2015,R1W2,W02,W15
2015,R1W3,W03,W14
2015,R1W4,W04,W13
2015,R1W5,W05,W12
2015,R1W6,W06,W11
2015,R1W7,W07,W10
2015,R1W8,W08,W09
2015,R1X1,X01,X16
2015,R1X2,X02,X15
2015,R1X3,X03,X14
2015,R1X4,X04,X13
2015,R1X5,X05,X12
2015,R1X6,X06,X11
2015,R1X7,X07,X10
2015,R1X8,X08,X09
2015,R1Y1,Y01,Y16
2015,R1Y2,Y02,Y15
2015,R1Y3,Y03,Y14
2015,R1Y4,Y04,Y13
2015,R1Y5,Y05,Y12
2015,R1Y6,Y06,Y11
2015,R1Y7,Y07,Y10
2015,R1Y8,Y08,Y09
2015,R1Z1,Z01,Z16
2015,R1Z2,Z02,Z15
2015,R1Z3,Z03,Z14
2015,R1Z4,Z04,Z13
2015,R1Z5,Z05,Z12
2015,R1Z6,Z06,Z11
2015,R1Z7,Z07,Z10
2015,R1Z8,Z08,Z09
2015,R2W1,R1W1,R1W8
2015,R2W2,R1W2,R1W7
2015,R2W3,R1W3,R1W6
2015,R2W4,R1W4,R1W5
2015,R2X1,R1X1,R1X8
2015,R2X2,R1X2,R1X7
2015,R2X3,R1X3,R1X6
2015,R2X4,R1X4,R1X5
2015,R2Y1,R1Y1,R1Y8
2015,R2Y2,R1Y2,R1Y7
2015,R2Y3,R1Y3,R1Y6
2015,R2Y4,R1Y4,R1Y5
2015,R2Z1,R1Z1,R1Z8
2015,R2Z2,R1Z2,R1Z7
2015,R2Z3,R1Z3,R1Z6
2015,R2Z4,R1Z4,R1Z5
2015,R3W1,R2W1,R2W4
2015,R3W2,R2W2,R2W3
2015,R3X1,R2X1,R2X4
2015,R3X2,R2X2,R2X3
2015,R3Y1,R2Y1,R2Y4
2015,R3Y2,R2Y2,R2Y3
2015,R3Z1,R2Z1,R2Z4
2015,R3Z2,R2Z2,R2Z3
2015,R4W1,R3W1,R3W2
2015,R4X1,R3X1,R3X2
2015,R4Y1,R3Y1,R3Y2
2015,R4Z1,R3Z1,R3Z2
2015,R5WX,R4W1,R4X1
2015,R5YZ,R4Y1,R4Z1
2015,R6CH,R5WX,R5YZ
2016,R1W1,W01,W16
2016,R1W2,W02,W15
2016,R1W3,W03,W14
2016,R1W4,W04,W13
2016,R1W5,W05,W12
2016,R1W6,W06,W11
2016,R1W7,W07,W10
2016,R1W8,W08,W09
2016,R1X1,X01,X16
2016,R1X2,X02,X15
2016,R1X3,X03,X14
2016,R1X4,X04,X13
2016,R1X5,X05,X12
2016,R1X6,X06,X11
2016,R1X7,X07,X10
2016,R1X8,X08,X09
2016,R1Y1,Y01,Y16
2016,R1Y2,Y02,Y15
2016,R1Y3,Y03,Y14
2016,R1Y4,Y04,Y13
2016,R1Y5,Y05,Y12
2016,R1Y6,Y06,Y11
2016,R1Y7,Y07,Y10
2016,R1Y8,Y08,Y09
2016,R1Z1,Z01,Z16
2016,R1Z2,Z02,Z15
2016,R1Z3,Z03,Z14
2016,R1Z4,Z04,Z13
2016,R1Z5,Z05,Z12
2016,R1Z6,Z06,Z11
2016,R1Z7,Z07,Z10
2016,R1Z8,Z08,Z09
2016,R2W1,R1W1,R1W8
2016,R2W2,R1W2,R1W7
2016,R2W3,R1W3,R1W6
2016,R2W4,R1W4,R1W5
2016,R2X1,R1X1,R1X8
2016,R2X2,R1X2,R1X7
2016,R2X3,R1X3,R1X6
2016,R2X4,R1X4,R1X5
2016,R2Y1,R1Y1,R1Y8
2016,R2Y2,R1Y2,R1Y7
2016,R2Y3,R1Y3,R1Y6
2016,R2Y4,R1Y4,R1Y5
2016,R2Z1,R1Z1,R1Z8
2016,R2Z2,R1Z2,R1Z7
2016,R2Z3,R1Z3,R1Z6
2016,R2Z4,R1Z4,R1Z5
2016,R3W1,R2W1,R2W4
2016,R3W2,R2W2,R2W3
2016,R3X1,R2X1,R2X4
2016,R3X2,R2X2,R2X3
2016,R3Y1,R2Y1,R2Y4
2016,R3Y2,R2Y2,R2Y3
2016,R3Z1,R2Z1,R2Z4
2016,R3Z2,R2Z2,R2Z3
2016,R4W1,R3W1,R3W2
2016,R4X1,R3X1,R3X2
2016,R4Y1,R3Y1,R3Y2
2016,R4Z1,R3Z1,R3Z2
2016,R5WX,R4W1,R4X1
2016,R5YZ,R4Y1,R4Z1
2016,R6CH,R5WX,R5YZ
2017,R1W1,W01,W16
2017,R1W2,W02,W15
2017,R1W3,W03,W14
2017,R1W4,W04,W13
2017,R1W5,W05,W12
2017,R1W6,W06,W11
2017,R1W7,W07,W10
2017,R1W8,W08,W09
2017,R1X1,X01,X16
2017,R1X2,X02,X15
2017,R1X3,X03,X14
2017,R1X4,X04,X13
2017,R1X5,X05,X12
2017,R1X6,X06,X11
2017,R1X7,X07,X10
2017,R1X8,X08,X09
2017,R1Y1,Y01,Y16
2017,R1Y2,Y02,Y15
2017,R1Y3,Y03,Y14
2017,R1Y4,Y04,Y13
2017,R1Y5,Y05,Y12
2017,R1Y6,Y06,Y11
2017,R1Y7,Y07,Y10
2017,R1Y8,Y08,Y09
2017,R1Z1,Z01,Z16
2017,R1Z2,Z02,Z15
2017,R1Z3,Z03,Z14
2017,R1Z4,Z04,Z13
2017,R1Z5,Z05,Z12
2017,R1Z6,Z06,Z11
2017,R1Z7,Z07,Z10
2017,R1Z8,Z08,Z09
2017,R2W1,R1W1,R1W8
2017,R2W2,R1W2,R1W7
2017,R2W3,R1W3,R1W6
2017,R2W4,R1W4,R1W5
2017,R2X1,R1X1,R1X8
2017,R2X2,R1X2,R1X7
2017,R2X3,R1X3,R1X6
2017,R2X4,R1X4,R1X5
2017,R2Y1,R1Y1,R1Y8
2017,R2Y2,R1Y2,R1Y7
2017,R2Y3,R1Y3,R1Y6
2017,R2Y4,R1Y4,R1Y5
2017,R2Z1,R1Z1,R1Z8
2017,R2Z2,R1Z2,R1Z7
2017,R2Z3,R1Z3,R1Z6
2017,R2Z4,R1Z4,R1Z5
2017,R3W1,R2W1,R2W4
2017,R3W2,R2W2,R2W3
2017,R3X1,R2X1,R2X4
2017,R3X2,R2X2,R2X3
2017,R3Y1,R2Y1,R2Y4
2017,R3Y2,R2Y2,R2Y3
2017,R3Z1,R2Z1,R2Z4
2017,R3Z2,R2Z2,R2Z3
2017,R4W1,R3W1,R3W2
2017,R4X1,R3X1,R3X2
2017,R4Y1,R3Y1,R3Y2
2017,R4Z1,R3Z1,R3Z2
2017,R5WX,R4W1,R4X1
2017,R5YZ,R4Y1,R4Z1
2017,R6CH,R5WX,R5YZ
2018,R1W1,W01,W16
2018,R1W2,W02,W15
2018,R1W3,W03,W14
2018,R1W4,W04,W13
2018,R1W5,W05,W12
2018,R1W6,W06,W11
2018,R1W7,W07,W10
2018,R1W8,W08,W09
2018,R1X1,X01,X16
2018,R1X2,X02,X15
2018,R1X3,X03,X14
2018,R1X4,X04,X13
2018,R1X5,X05,X12
2018,R1X6,X06,X11
2018,R1X7,X07,X10
2018,R1X8,X08,X09
2018,R1Y1,Y01,Y16
2018,R1Y2,Y02,Y15
2018,R1Y3,Y03,Y14
2018,R1Y4,Y04,Y13
2018,R1Y5,Y05,Y12
2018,R1Y6,Y06,Y11
2018,R1Y7,Y07,Y10
2018,R1Y8,Y08,Y09
2018,R1Z1,Z01,Z16
2018,R1Z2,Z02,Z15
2018,R1Z3,Z03,Z14
2018,R1Z4,Z04,Z13
2018,R1Z5,Z05,Z12
2018,R1Z6,Z06,Z11
2018,R1Z7,Z07,Z10
2018,R1Z8,Z08,Z09
2018,R2W1,R1W1,R1W8
2018,R2W2,R1W2,R1W7
2018,R2W3,R1W3,R1W6
2018,R2W4,R1W4,R1W5
2018,R2X1,R1X1,R1X8
2018,R2X2,R1X2,R1X7
2018,R2X3,R1X3,R1X6
2018,R2X4,R1X4,R1X5
2018,R2Y1,R1Y1,R1Y8
2018,R2Y2,R1Y2,R1Y7
2018,R2Y3,R1Y3,R1Y6
2018,R2Y4,R1Y4,R1Y5
2018,R2Z1,R1Z1,R1Z8
2018,R2Z2,R1Z2,R1Z7
2018,R2Z3,R1Z3,R1Z6
2018,R2Z4,R1Z4,R1Z5
2018,R3W1,R2W1,R2W4
2018,R3W2,R2W2,R2W3
2018,R3X1,R2X1,R2X4
2018,R3X2,R2X2,R2X3
2018,R3Y1,R2Y1,R2Y4
2018,R3Y2,R2Y2,R2Y3
2018,R3Z1,R2Z1,R2Z4
2018,R3Z2,R2Z2,R2Z3
2018,R4W1,R3W1,R3W2
2018,R4X1,R3X1,R3X2
2018,R4Y1,R3Y1,R3Y2
2018,R4Z1,R3Z1,R3Z2
2018,R5WX,R4W1,R4X1
2018,R5YZ,R4Y1,R4Z1
2018,R6CH,R5WX,R5YZ
2019,R1W1,W01,W16
2019,R1W2,W02,W15
2019,R1W3,W03,W14
2019,R1W4,W04,W13
2019,R1W5,W05,W12
2019,R1W6,W06,W11
2019,R1W7,W07,W10
2019,R1W8,W08,W09
2019,R1X1,X01,X16
2019,R1X2,X02,X15
2019,R1X3,X03,X14
2019,R1X4,X04,X13
2019,R1X5,X05,X12
2019,R1X6,X06,X11
2019,R1X7,X07,X10
2019,R1X8,X08,X09
2019,R1Y1,Y01,Y16
2019,R1Y2,Y02,Y15
2019,R1Y3,Y03,Y14
2019,R1Y4,Y04,Y13
2019,R1Y5,Y05,Y12
2019,R1Y6,Y06,Y11
2019,R1Y7,Y07,Y10
2019,R1Y8,Y08,Y09
2019,R1Z1,Z01,Z16
2019,R1Z2,Z02,Z15
2019,R1Z3,Z03,Z14
2019,R1Z4,Z04,Z13
2019,R1Z5,Z05,Z12
2019,R1Z6,Z06,Z11
2019,R1Z7,Z07,Z10
2019,R1Z8,Z08,Z09
2019,R2W1,R1W1,R1W8
2019,R2W2,R1W2,R1W7
2019,R2W3,R1W3,R1W6
2019,R2W4,R1W4,R1W5
2019,R2X1,R1X1,R1X8
2019,R2X2,R1X2,R1X7
2019,R2X3,R1X3,R1X6
2019,R2X4,R1X4,R1X5
2019,R2Y1,R1Y1,R1Y8
2019,R2Y2,R1Y2,R1Y7
2019,R2Y3,R1Y3,R1Y6
2019,R2Y4,R1Y4,R1Y5
2019,R2Z1,R1Z1,R1Z8
2019,R2Z2,R1Z2,R1Z7
2019,R2Z3,R1Z3,R1Z6
2019,R2Z4,R1Z4,R1Z5
2019,R3W1,R2W1,R2W4
2019,R3W2,R2W2,R2W3
2019,R3X1,R2X1,R2X4
2019,R3X2,R2X2,R2X3
2019,R3Y1,R2Y1,R2Y4
2019,R3Y2,R2Y2,R2Y3
2019,R3Z1,R2Z1,R2Z4
2019,R3Z2,R2Z2,R2Z3
2019,R4W1,R3W1,R3W2
2019,R4X1,R3X1,R3X2
2019,R4Y1,R3Y1,R3Y2
2019,R4Z1,R3Z1,R3Z2
2019,R5WX,R4W1,R4X1
2019,R5YZ,R4Y1,R4Z1
2019,R6CH,R5WX,R5YZ
2020,R1W1,W01,W16
2020,R1W2,W02,W15
2020,R1W3,W03,W14
2020,R1W4,W04,W13
2020,R1W5,W05,W12
2020,R1W6,W06,W11
2020,R1W7,W07,W10
2020,R1W8,W08,W09
2020,R1X1,X01,X16
2020,R1X2,X02,X15
2020,R1X3,X03,X14
2020,R1X4,X04,X13
2020,R1X5,X05,X12
2020,R1X6,X06,X11
2020,R1X7,X07,X10
2020,R1X8,X08,X09
2020,R1Y1,Y01,Y16
2020,R1Y2,Y02,Y15
2020,R1Y3,Y03,Y14
2020,R1Y4,Y04,Y13
2020,R1Y5,Y05,Y12
2020,R1Y6,Y06,Y11
2020,R1Y7,Y07,Y10
2020,R1Y8,Y08,Y09
2020,R1Z1,Z01,Z16
2020,R1Z2,Z02,Z15
2020,R1Z3,Z03,Z14
2020,R1Z4,Z04,Z13
2020,R1Z5,Z05,Z12
2020,R1Z6,Z06,Z11
2020,R1Z7,Z07,Z10
2020,R1Z8,Z08,Z09
2020,R2W1,R1W1,R1W8
2020,R2W2,R1W2,R1W7
2020,R2W3,R1W3,R1W6
2020,R2W4,R1W4,R1W5
2020,R2X1,R1X1,R1X8
2020,R2X2,R1X2,R1X7
2020,R2X3,R1X3,R1X6
2020,R2X4,R1X4,R1X5
2020,R2Y1,R1Y1,R1Y8
2020,R2Y2,R1Y2,R1Y7
2020,R2Y3,R1Y3,R1Y6
2020,R2Y4,R1Y4,R1Y5
2020,R2Z1,R1Z1,R1Z8
2020,R2Z2,R1Z2,R1Z7
2020,R2Z3,R1Z3,R1Z6
2020,R2Z4,R1Z4,R1Z5
2020,R3W1,R2W1,R2W4
2020,R3W2,R2W2,R2W3
2020,R3X1,R2X1,R2X4
2020,R3X2,R2X2,R2X3
2020,R3Y1,R2Y1,R2Y4
2020,R3Y2,R2Y2,R2Y3
2020,R3Z1,R2Z1,R2Z4
2020,R3Z2,R2Z2,R2Z3
2020,R4W1,R3W1,R3W2
2020,R4X1,R3X1,R3X2
2020,R4Y1,R3Y1,R3Y2
2020,R4Z1,R3Z1,R3Z2
2020,R5WX,R4W1,R4X1
2020,R5YZ,R4Y1,R4Z1
2020,R6CH,R5WX,R5YZ
2021,R1W1,W01,W16
2021,R1W2,W02,W15
2021,R1W3,W03,W14
2021,R1W4,W04,W13
2021,R1W5,W05,W12
2021,R1W6,W06,W11
2021,R1W7,W07,W10
2021,R1W8,W08,W09
2021,R1X1,X01,X16
2021,R1X2,X02,X15
2021,R1X3,X03,X14
2021,R1X4,X04,X13
2021,R1X5,X05,X12
2021,R1X6,X06,X11
2021,R1X7,X07,X10
2021,R1X8,X08,X09
2021,R1Y1,Y01,Y16
2021,R1Y2,Y02,Y15
2021,R1Y3,Y03,Y14
2021,R1Y4,Y04,Y13
2021,R1Y5,Y05,Y12
2021,R1Y6,Y06,Y11
2021,R1Y7,Y07,Y10
2021,R1Y8,Y08,Y09
2021,R1Z1,Z01,Z16
2021,R1Z2,Z02,Z15
2021,R1Z3,Z03,Z14
2021,R1Z4,Z04,Z13
2021,R1Z5,Z05,Z12
2021,R1Z6,Z06,Z11
2021,R1Z7,Z07,Z10
2021,R1Z8,Z08,Z09
2021,R2W1,R1W1,R1W8
2021,R2W2,R1W2,R1W7
2021,R2W3,R1W3,R1W6
2021,R2W4,R1W4,R1W5
2021,R2X1,R1X1,R1X8
2021,R2X2,R1X2,R1X7
2021,R2X3,R1X3,R1X6
2021,R2X4,R1X4,R1X5
2021,R2Y1,R1Y1,R1Y8
2021,R2Y2,R1Y2,R1Y7
2021,R2Y3,R1Y3,R1Y6
2021,R2Y4,R1Y4,R1Y5
2021,R2Z1,R1Z1,R1Z8
2021,R2Z2,R1Z2,R1Z7
2021,R2Z3,R1Z3,R1Z6
2021,R2Z4,R1Z4,R1Z5
2021,R3W1,R2W1,R2W4
2021,R3W2,R2W2,R2W3
2021,R3X1,R2X1,R2X4
2021,R3X2,R2X2,R2X3
2021,R3Y1,R2Y1,R2Y4
2021,R3Y2,R2Y2,R2Y3
2021,R3Z1,R2Z1,R2Z4
2021,R3Z2,R2Z2,R2Z3
2021,R4W1,R3W1,R3W2
2021,R4X1,R3X1,R3X2
2021,R4Y1,R3Y1,R3Y2
2021,R4Z1,R3Z1,R3Z2
2021,R5WX,R4W1,R4X1
2021,R5YZ,R4Y1,R4Z1
2021,R6CH,R5WX,R5YZ
2022,R1W1,W01,W16
2022,R1W2,W02,W15
2022,R1W3,W03,W14
2022,R1W4,W04,W13
2022,R1W5,W05,W12
2022,R1W6,W06,W11
2022,R1W7,W07,W10
2022,R1W8,W08,W09
2022,R1X1,X01,X16
2022,R1X2,X02,X15
2022,R1X3,X03,X14
2022,R1X4,X04,X13
2022,R1X5,X05,X12
2022,R1X6,X06,X11
2022,R1X7,X07,X10
2022,R1X8,X08,X09
2022,R1Y1,Y01,Y16
2022,R1Y2,Y02,Y15
2022,R1Y3,Y03,Y14
2022,R1Y4,Y04,Y13
2022,R1Y5,Y05,Y12
2022,R1Y6,Y06,Y11
2022,R1Y7,Y07,Y10
2022,R1Y8,Y08,Y09
2022,R1Z1,Z01,Z16
2022,R1Z2,Z02,Z15
2022,R1Z3,Z03,Z14
2022,R1Z4,Z04,Z13
2022,R1Z5,Z05,Z12
2022,R1Z6,Z06,Z11
2022,R1Z7,Z07,Z10
2022,R1Z8,Z08,Z09
2022,R2W1,R1W1,R1W8
2022,R2W2,R1W2,R1W7
2022,R2W3,R1W3,R1W6
2022,R2W4,R1W4,R1W5
2022,R2X1,R1X1,R1X8
2022,R2X2,R1X2,R1X7
2022,R2X3,R1X3,R1X6
2022,R2X4,R1X4,R1X5
2022,R2Y1,R1Y1,R1Y8
2022,R2Y2,R1Y2,R1Y7
2022,R2Y3,R1Y3,R1Y6
2022,R2Y4,R1Y4,R1Y5
2022,R2Z1,R1Z1,R1Z8
2022,R2Z2,R1Z2,R1Z7
2022,R2Z3,R1Z3,R1Z6
2022,R2Z4,R1Z4,R1Z5
2022,R3W1,R2W1,R2W4
2022,R3W2,R2W2,R2W3
2022,R3X1,R2X1,R2X4
2022,R3X2,R2X2,R2X3
2022,R3Y1,R2Y1,R2Y4
2022,R3Y2,R2Y2,R2Y3
2022,R3Z1,R2Z1,R2Z4
2022,R3Z2,R2Z2,R2Z3
2022,R4W1,R3W1,R3W2
2022,R4X1,R3X1,R3X2
2022,R4Y1,R3Y1,R3Y2
2022,R4Z1,R3Z1,R3Z2
2022,R5WX,R4W1,R4X1
2022,R5YZ,R4Y1,R4Z1
2022,R6CH,R5WX,R5YZ
2022,W16,W16a,W16b
2022,X11,X11a,X11b
2022,Y11,Y11a,Y11b
2022,Y16,Y16a,Y16b
